No of dam,WARMS Dam ID,Name of dam,Water management area,Quaternary Drainage Area,Latitude deg,Lat min,Lat sec,Longitude deg,Long min,Long sec,Town nearest,Distance from Town,Name of farm,Municipal District,Province code,Region Code,Completion date,Completion date raised,River or Watercourse,Wall type,Wall height,Crest Length (m),Spillway Type,Capacity (1000 cub m),Surface area (ha),Catchment area (sq km)),Purpose,Owner Name,Designer,Contractor,Registration date,Size,Hazard Potential,Category,Classification date,Sector,Date Last DSI,Number Last DSI,Target date
A216/49,21,YZERFONTEIN DAM,1,A21L,25,20,28.8,27,33,7.8,BRITS,50,YZERFONTEIN 198 JQ PTN 13,JQ,NORTH WEST,NORTH WEST,1980,,CROCODILE,EARTHFILL,8,700,BY-WASH,188,6,0,IRRIGATION,MEINTJES D.S.,,,9/29/2009,Small,Low,1,2/20/2013,A,,0,
A220/01,,VAALKOP DAM,1,A22J,25,18,30,27,28,30,RUSTENBURG,45,BULHOEK 75 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,1972,2008,ELANDS,EARTHFILL & GRAVITY,33,2491,UNCONTROLLED OGEE,53500,1110.5,6115,"IRRIGATION, DOMESTIC SUPPLY & INDUSTRIAL USE",DEPT. OF WATER & SANITATION,OWNER,OWNER,1/6/1987,Large,High,3,1/11/1988,W,1/26/2011,4,
A220/02,,OLIFANTSNEK DAM,1,A22H,25,47,3,27,15,36,RUSTENBURG,15,COMMISSIEDRIFT G 9,RUSTENBURG,NORTH WEST,NORTH WEST,1929,,HEX RIVER,ARCH,30,129,FLAT CREST FREEFALL SPILLWAY,14200,272,492,IRRIGATION,OLIFANTSNEK IRRIGATION  BOARD,STATE (DWA),STATE (DWA),1/23/1987,Large,High,3,1/27/1987,A,12/1/2009,3,12/30/2016
A220/03,381,KOSTER DAM,1,A22B,25,42,0,26,54,15,KOSTER,20,WATERKLOOF 428 JP,KOSTER,NORTH WEST,NORTH WEST,1964,1972,KOSTER,ARCH & EARTHFILL,26,846,OGEE,11800,258,281,DOMESTIC USE,DEPT. OF WATER & SANITATION,OWNER,OWNER,1/6/1987,Medium,High,3,1/8/1991,W,5/29/2015,5,5/29/2020
A220/05,,LINDLEYSPOORT DAM,1,A22A,25,29,50.7,26,41,23.4,SWARTRUGGENS,15,LINDLEYSPOORT 220 JP,SWARTRUGGENS,NORTH WEST,NORTH WEST,1943,1968,ELANDS,ARCH,37.8,177,OGEE,14381,180.1,704,IRRIGATION,DEPT. OF WATER & SANITATION,OWNER,OWNER,1/2/1987,Large,High,3,1/14/1988,W,12/4/2008,4,
A220/07,,BOSPOORT,1,A22H,25,33,45,27,21,1,RUSTENBURG,15,BOSCHPOORT 284 JQ,,NORTH WEST,NORTH WEST,1933,,HEX RIVER,EARTHFILL & GRAVITY,23,468,OGEE,18200,378.8,,IRRIGATION,DEPT. OF WATER & SANITATION,OWNER,OWNER,1/6/1987,Medium,High,3,8/18/1987,W,12/10/2004,2,
A220/08,,MANKWE DAM,1,A22F,25,15,59.2,27,7,52.4,MOGWASE,10,PTN 6 HOUWATER 54 JQ REM. PTN 8 BUFFELSHOEK 53 JQ,MOGWASE,NORTH WEST,NORTH WEST,1967,,MANKWE,EARTHFILL,12,560,BY-WASH CHANNEL,3760,65,131,STOCK WATERING,DEPT. OF WATER & SANITATION,UNKNOWN,UNKNOWN,5/1/1995,Medium,Significant,2,7/1/1991,W,2/3/2011,3,
A220/09,,SWARTRUGGENS DAM,1,A22A,25,39,42.1,26,41,37.8,SWARTRUGGENS,2,BRAKFONTEIN 404 JP,BOJANALA,NORTH WEST,NORTH WEST,1961,1993,ELANDS,EARTHFILL,15,138,OGEE,490,18.5,493,"MUNICIPAL, INDUSTRIAL & RECREATIONAL USE",KGETLENG RIVIER LOCAL MUNICIPALITY,H.J. FICK(FICK & HOLLENBACH),UNKNOWN,7/6/1987,Medium,Significant,2,12/27/1989,M,5/5/2009,2,1/30/2015
A222/23,,ROODEWAL DAM D,1,A22C,25,46,30,27,5,45,RUSTENBURG,30,ROODEWAL 322 JQ,,NORTH WEST,NORTH WEST,1954,,SELONS RIVER TR.,EARTHFILL,9,146,OPEN CHANNEL,250,4,,IRRIGATION,RAINBOW FARMS (PTY) LTD,KELLAR H.,UNKNOWN,3/10/1987,Small,Low,1,8/8/1995,A,6/30/1988,1,
A222/26,2331,PRECIOUS METALS REFINERS EFFLUENT DAMS 4 & 5,1,A22H,25,41,17.3,27,20,48.7,RUSTENBURG,10,PORTION 4 OF KLIPFONTEIN,RUSTENBURG,NORTH WEST,NORTH WEST,1997,,KLIPFONTEIN SPRUIT,EARTHFILL,6.3,815,OPEN CHANNEL,163,4,0.04,POLLUTION CONTROL,RUSTERNBURG PLATINUM MINES,SRK CONSULTING ENGINEERS,FRASER ALEXANDER CONS.,1/26/1999,Small,Significant,2,12/17/1996,O,1/8/2014,3,
A223/27,,ZUURPLAAT DAM NO1,1,A22H,25,46,25.9,27,23,31.7,KROONDAL,14,ZUURPLAAT 337 JQ,,NORTH WEST,NORTH WEST,1947,,SAND SPRUIT TR.,EARTHFILL,6,230,OPEN CHANNEL,80,3,,IRRIGATION,RAINBOW CHICKEN FARMS (EDMS.) BPK.,C.H.G.E. OTTERMANN,C.H.G.E. OTTERMANN,11/20/1986,Small,Low,1,1/7/1991,A,,0,
A223/28,66,ROODEKLOOF,1,A22G,25,48,35.26,27,12,14.29,RUSTENBURG,24,ROODEKLOOF 326 JQ PTN. 14,,NORTH WEST,NORTH WEST,1964,,ROOIKLOOF SPRUIT TR.,EARTHFILL,10.4,270,OPEN CHANNEL,125,3,,IRRIGATION,BERGENHUSEN BK,OWNER,POTGIETER & SNYMAN,11/24/1986,Small,Low,1,3/20/2008,A,,0,
A223/29,,ZUURPLAAT DAM NO2,1,A22H,25,47,3,27,24,3,RUSTENBURG,23,ZUURPLAAT 337 JQ PTN. 116 (PTN.. VAN PTN.. 10),,NORTH WEST,NORTH WEST,1950,,SAND SPRUIT TR.,EARTHFILL,5,260,OPEN CHANNEL,60,0,,IRRIGATION,DE VILLIERS I.J.,UNKNOWN,UNKNOWN,1/12/1987,Small,Low,1,7/21/1994,A,,0,
A223/49,,KLIPFONTEIN RETURN WATER DAM,1,A22H,25,42,13.4,27,22,59,RUSTENBURG,10,KLIPFONTEIN 300 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,2003,,KLIPSPRUIT,EARTHFILL,7,670,OPEN CHANNEL,125,3.9,,WASTEWATER DISPOSAL,RUSTENBURG PLATINUM MINES LTD,SRK CONSULTING,FRASER ALEXANDER TAILINGS,11/1/2005,Small,Significant,2,7/11/2002,O,8/4/2011,2,10/31/2016
A223/50,,KLIPGAT RETURN WATER DAM,1,A22H,25,39,8.1,27,18,47,RUSTENBURG,10,WATERVAL 303 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,1980,,HEX RIVER TR.,EARTHFILL,8,680,CRUMP WEIR WITH V-NOTCH,836,29,11.1,INDUSTRIAL USE,ANGLO PLATINUM,SRK CONSULTING,UNKNOWN,5/23/2005,Small,Significant,2,7/4/2005,O,9/11/2011,2,
A223/51,,PRISON DAM,1,A22H,25,37,56,27,15,37,RUSTENBURG,8,JABULA DISTRICT,RUSTENBURG,NORTH WEST,NORTH WEST,,,DORPSPRUIT,EARTHFILL,6,200,FREE OVERFALL AND OPEN CHANNEL,120,21,70,RECREATION,RUSTENBURG LOCAL MUNICIPALITY,SMV CIVIL ENGINEERS,OWNER,4/7/2008,Small,Significant,2,9/5/2011,M,9/29/2011,1,
A223/52,,PAARDEKRAAL DAM,1,A22H,25,38,58,27,17,26,RUSTENBURG,10,PAARDEKRAAL,RUSTENBURG,NORTH WEST,NORTH WEST,UNKN,,HEX,EARTHFILL,7.4,200,FREE OVERFALL AND OPEN CHANNEL,160,,57,RECREATION,RUSTENBURG LOCAL MUNICIPALITY,,,3/11/2008,Small,Low,1,3/20/2008,M,,0,7/30/2010
A224/28,591,LENGUA DAM (PREVIOUSLY BAKUBUNG DAM),1,A22F,25,19,25,27,3,20,SUN CITY,3,WYDHOEK 92 JQ,JQ,NORTH WEST,NORTH WEST,1996,,MATLBROGAABONE,ARCH,14,235,FREE FALL (STRAIGHT DROP),250,9,16.7,IRRIGATION,DEPT. ENVIRONMENTAL AFFAIRS,SHAW Q.H.W.,PARTIKON CONSTRUCTION,1/24/1997,Medium,Significant,2,8/19/1992,O,8/28/2010,2,5/30/2015
A224/29,1116,ROCKWALL DAM,1,A22F,25,29,54,27,12,19,GA-LUKA,2,GOEDGEDACHT 114 JQ,,NORTH WEST,NORTH WEST,1975,,LERAGANE RIVER TR.,ROCKFILL,7,568,ROCKFILL OVERFLOW,1752,68,50.5,POLLUTION CONTROL,IMPALA PLATINUM LIMITED,PROF. D.C. MIDGELEY,UNION CORPORATION LTD.,5/1/1995,Small,Significant,2,5/24/1994,O,12/18/2007,4,1/31/2013
A224/30,,SUN CITY DAM,1,A22F,25,20,55,27,6,21,RUSTENBURG,44,DOORNHOEK 91,JD,NORTH WEST,NORTH WEST,2004,,LEITLHOLENOGA,EARTHFILL,20,385,OGEE,920,20.8,14.4,RECREATION,SUN INTERNATIONAL,STEWART SCOTT INC.,TRESCON (PTY) LTD.,8/31/1994,Medium,High,3,9/6/1994,O,6/5/2009,3,1/31/2016
A224/31,,DITHABANENG DAM,1,A22F,25,12,0,27,11,0,RUSTENBURG,60,DOORNPOORT 57 JQ,,NORTH WEST,NORTH WEST,0,,DORINGPOORT SPRUIT,EARTHFILL,10,330,SIDE CHANNEL SPILLWAY,50,0,,INFORMATION NOT AVAILABLE,BOPHUTHATSWANA NATIONAL PARKS &,SOUTHWOOD S.R.,TSWABA BUSHCLEARING,3/30/1995,Small,Low,1,11/1/1994,A,,0,
A224/33,576,MAKAWANE-(PREVIOUSLY:TSHUKUDU-E-NTSHO DAM),1,A22F,25,15,32,27,5,10,LEDIG,15,BUFFELSHOEK 58,,NORTH WEST,NORTH WEST,1964,,MANKWE RIVER,MULTI-ARCH,10,143,OGEE SPILLWAY,150,7,,GAME RESERVE USE,NORTH WEST PARKS AND TOURISM,S.R. SOUTHWOOD,CEMCON CONSTRUCTION PTY LTD,6/5/1996,Small,Significant,2,3/25/2011,O,8/11/2003,1,11/30/2011
A224/35,,SEDIBA KWELE,1,A22J,25,16,30,27,27,30,BRITS,30,PTN 32 PALMIETFONTEIN 72 JQ,JQ,NORTH WEST,NORTH WEST,1997,,ELANDS RIVER TRB.,EARTHFILL,8.15,125,SIDE CHANNEL,136,5.37,,"DOMESTIC SUPPLY, STOCK WATERING & IRRIGATION",COERT SMITH EIENDOMME,ABEL PIENAAR,AJP CIVIL CONTRACT,10/2/2007,Small,Low,1,7/24/2013,A,,0,9/30/2011
A224/36,351,GROOT DAM,1,A22F,25,31,52.6,27,5,14.1,BOSHOEK,3,BULTFONTEIN 10176,JO,NORTH WEST,NORTH WEST,1935,,NAMELESS TRB.,EARTHFILL,6,300,OGEE (OVERFLOW),75,3,0,IRRIGATION,FULS F.A.,,,9/29/2009,Small,Low,1,2/13/2013,A,,0,
A230/01,,ROODEPLAAT DAM,1,A23A,25,37,15.5,28,22,20.37,PRETORIA,20,ROODEPLAAT 293 JR,METSWEDING,GAUTENG,NORTH WEST,1959,,PIENAARS,ARCH,55,351,UNCONTROLLED OGEE,43472,395.2,682,IRRIGATION & WATER SUPPLY,DEPT. OF WATER & SANITATION,OWNER,OWNER,1/6/1987,Large,High,3,7/7/1987,W,8/15/2011,4,
A230/02,2166,KLIPVOOR DAM,1,A23J,25,7,55,27,48,30,KLIPVOOR,4,KLIPVOOR,BOPHUTHATSWANA,NORTH WEST,NORTH WEST,1970,,MORETELE,EARTHFILL & GRAVITY,29,475,OGEE (OVERFLOW),47000,685,6128,IRRIGATION,DEPT. OF WATER & SANITATION,DWA,DWA,5/1/1995,Medium,High,3,1/22/1993,W,2/25/2015,4,2/25/2020
A230/06,96,BISCHOFFS DAM,1,A23G,24,49,36,28,12,39,WARMBAD,10,BUFFELSPRUIT 443 KR PTN. 3,,LIMPOPO,NORTH WEST,1915,,BUFFELS SPRUIT TR.,EARTHFILL,12.6,638,OPEN CHANNEL,638,12,,IRRIGATION,WARMBAD-BESPROEIINGSRAAD,VROEE MYNGROEP,BG MYNGROEP,8/28/2009,Medium,Low,2,12/18/1990,A,,0,6/30/2016
A230/08,,BON ACCORD DAM,1,A23E,25,37,20,28,11,21,PRETORIA,15,BON ACCORD,WONDERBOOM,GAUTENG,NORTH WEST,1923,,APIES,EARTHFILL,17,1167,OPEN CHANNEL,4290,144,307,IRRIGATION,BON ACCORD IRRIGATION BOARD,STATE (DWA),STATE (DWA),5/8/1990,Medium,High,3,1/15/1987,A,5/25/2011,3,1/30/2017
A231/26,,ZEEKOEGAT-NOOD DAM,1,A23A,25,37,21,28,20,17,PRETORIA,20,ZEEKOEGAT 296 JR,JR,GAUTENG,NORTH WEST,1988,,-,EARTHFILL,6,490,VERTICAL FREE-FALL SPILLWAY,112,4,2,POLLUTION CONTROL,CITY OF TSHWANE,VAN WYK & LOUW ENG,BERGHOUT EN ROUVOET (PTY) LTD,11/24/1989,Small,Significant,2,12/19/1986,M,4/17/2013,2,11/30/2019
A231/27,,THEUNIS BESTER DAM,1,A23A,25,50,9,28,26,28,PRETORIA,30,BOSCHKOP 396 JR PTN 126,JR,GAUTENG,NORTH WEST,1986,,PIENAARS RIVER,EARTHFILL,14.6,400,BYWASH SPILLWAY,250,12,112,IRRIGATION,BLUE HORISON PROP. (PTY) LTD,M.J. FOURIE & S.J. GROVE,J. & R. TOSI KONSTRUKSIE,11/18/1986,Medium,Significant,2,3/17/1989,A,10/31/2012,2,
A231/28,,BOSCHKOP NO.1- DAM,1,A23A,25,51,8,28,28,59,RAYTON,18,BOSCHKOP 369 JR,,GAUTENG,NORTH WEST,1986,,PIENAARS RIVER TR.,EARTHFILL,8,240,OPEN CHANNEL,300,8,,IRRIGATION,BOOYSEN J.,OWNER,OWNER,11/18/1986,Small,Low,1,4/12/1989,A,,0,5/31/2010
A231/29,,BOSCHKOP NO.2- DAM,1,A23A,25,51,11,28,28,50,RAYTON,18,BOSCHKOP 369 JR,,GAUTENG,NORTH WEST,1970,,BOSCHKOP SPRUIT TR.,EARTHFILL,8,35,OPEN CHANNEL,60,2,,IRRIGATION,BOOYSEN J.,OWNER,OWNER,11/18/1986,Small,Low,1,1/5/1994,A,,0,5/31/2010
A231/30,,BOSCHKOP NO.3- DAM,1,A23A,25,51,16,28,28,32,RAYTON,18,BOSCHKOP 369 JR,,GAUTENG,NORTH WEST,1985,,BOSCHKOP SPRUIT TR.,EARTHFILL,6,70,OPEN CHANNEL,70,2,,IRRIGATION,BOOYSEN J.,OWNER,OWNER,11/18/1986,Small,Low,1,1/5/1994,A,,0,5/31/2010
A231/31,,BOSCHKOP NO.4- DAM,1,A23A,25,51,35,28,28,36,RAYTON,18,BOSCHKOP 369 JR,,GAUTENG,NORTH WEST,1985,,BOSCHKOP SPRUIT TR.,EARTHFILL,5,150,OPEN CHANNEL,80,3,,IRRIGATION,BOOYSEN J.,OWNER,OWNER,11/18/1986,Small,Low,1,1/5/1994,A,,0,5/31/2010
A231/32,,TERBLANCHERUS DAM,1,A23A,25,51,59.8,28,28,42.2,RAYTON,20,BOSCHKOP 369 JR,,GAUTENG,NORTH WEST,1985,,PIENAARS RIVER TR.,EARTHFILL,6,218,SIDE CHANNEL SPILLWAY,64,2,,IRRIGATION,TERBLANCHE F.G.J.,OWNER,OWNER,11/17/1986,Small,Low,1,12/28/1988,A,,0,5/31/2010
A231/34,1266,PRIMULA FLOOD STRUCTURE,1,A23A,25,48,48.5,28,18,4.4,PRETORIA,15,GARSTFONTEIN 374  PTN 285,JR,GAUTENG,NORTH WEST,1991,,MORELETTASPRUIT,EARTHFILL,7,240,TUNNEL,88,3,,FLOOD CONTROL,TSHWANE METROPOLITAN MUNICIPALITY,FWJ KOEN,BOU RAATH CONTRACTORS,7/8/1991,Small,Significant,2,5/7/2004,M,5/28/2007,1,5/31/2016
A231/35,,PREMIER MINE NO.7 SLIMES DAM,1,A23B,25,39,3,28,30,23,CULLINAN,3,REMAINING EXTENT LOUWSBAKEN 140-476 JR,CULLINAN,MPUMALANGA,NORTH WEST,1958,,PREMIERMYNLOOP,MINE RESIDUE DEPOSIT,86,1220,NO  SPILLWAY,69500,380,9.56,MINE RESIDUE DISPOSAL,CULLINAN DIAMOND MINE (PTY) LTD,PREMIER MINE,H LEGGE - FIRM KANTBACK,9/30/1997,Large,High,3,10/24/1997,O,10/23/2009,3,6/30/2015
A231/36,,BAVIAANSPOORT-TUIN DAM,1,A23A,25,40,1,28,21,10,PRETORIA,23,BAVIAANSPOORT 330,PRETORIA,GAUTENG,NORTH WEST,0,,PIENAARS RIVER,EARTHFILL,8,450,INFORMATION NOT AVAILABLE,60,2,,IRRIGATION,DEPARTMENT OF CORRECTIONAL SERVICES,UNKNOWN,UNKNOWN,5/23/1988,Small,Low,1,12/19/1988,S,,0,5/31/2016
A231/38,1296,VALLEY FARM DAM,1,A23A,25,47,40,28,19,30,PRETORIA,15,VALLEY FARM 379 JR,,GAUTENG,NORTH WEST,0,,MORELETA SPRUIT,EARTHFILL,8,180,OPEN CHANNEL,70,3,,INFORMATION NOT AVAILABLE,TSHWANE METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,8/15/1989,Small,Low,1,9/20/1989,M,,0,9/30/2009
A231/39,,PRETORIA-BUITEKLUB DAM,1,A23A,25,47,13.2,28,15,16.4,PRETORIA,12,WATERKLOOF 376 JR PTN. 4,TSHWANE,GAUTENG,NORTH WEST,1908,,WATERKLOOF SPRUIT,EARTHFILL,12.3,140,SIDE CHANNEL SPILLWAY,120,3,4.5,IRRIGATION,PRETORIA-BUITEKLUB,UNKNOWN,UNKNOWN,8/5/1991,Medium,Significant,2,10/8/1991,O,12/1/2014,3,12/1/2019
A231/44,1281,STRUBEN DAM,1,A23A,25,46,32.8,28,16,46.7,PRETORIA,0,ERF 705 LYNNWOOD GLEN,MORETELE,GAUTENG,NORTH WEST,1985,,WATERKLOOF SPRUIT,EARTHFILL,6,160,SIDE CHANNEL SPILLWAY,108,4,15.7,RECREATION,TSHWANE METROPOLITAN COUNCIL,CHUNNETT FOURIE & PARTNERS,BARNAKON (PTY LTD.,4/25/1995,Small,Significant,2,2/7/1997,M,10/11/2012,2,10/30/2018
A231/47,,GENERAL LOUIS BOTHA DRIVE FLOOD ATTENUATION STRUCTURE,1,A23A,25,46,25.7,28,17,28,PRETORIA,0,,MORETELE,GAUTENG,NORTH WEST,2001,,MORELETA SPRUIT,EARTHFILL,8,195,CULVERTS,230,8.22,47,FLOOD CONTROL,TSHWANE METROPOLITAN MUNICIPALITY,"EKSTEEN, FOURIE & ASSOCIATES","HA SWANEPOEL, GROUP 5 ROADS NORTH, CIVILCON",10/27/2001,Small,Significant,2,8/14/1998,M,12/1/2007,1,5/31/2016
A231/48,,BRONBERGE RESERVOIR,1,A23A,25,47,35,28,20,31,PRETORIA,15,TWEEFONTEIN 372 JR PORTION 18,PRETORIA,GAUTENG,NORTH WEST,2002,,,REINFORCED CONCRETE RESERVOIR,8,0,VERTICAL OVERFLOW SHAFT WITH BELLMOUTH,100,0.8,,WATER SUPPLY,RAND WATER,RAND WATER,BISHOP CONSTRUCTION & SAFCRETE,10/1/2007,Small,Significant,2,3/20/2000,B,8/25/2010,1,
A231/50,,DEVILLEBOIS VLOED STRUKTUUR,1,A23A,25,49,17.3,28,18,52.7,PRETORIA,15,GARSFONTEIN 374 -  PTN 520,JR,GAUTENG,NORTH WEST,0,,PHILADELPHIASPRUIT,EARTHFILL,6,0,,136,0,,FLOOD CONTROL,TSHWANE METROPOLITAN MUNICIPALITY,,,10/6/2003,Small,Significant,2,1/19/2001,M,,0,5/31/2016
A231/55,,KLIPDRIFT BIG DAM,1,A23B,25,21,36,28,20,53,HAMMANSKRAAL,5,KLIPDRIFT 90 JR,,GAUTENG,NORTH WEST,1969,,PIENAARS TR,EARTHFILL,6.6,272,FREE FALL (STRAIGHT DROP),102,5,,STOCK WATERING,BRUGAIL INVESTMENTS (PTY) LTD.,F & B CONSULTING,F & B CONSULTING,10/18/2004,Small,Low,1,11/24/2004,A,,0,
A231/56,1356,GARRY DAM,1,A23B,25,33,52,28,26,18,CULLINAN,20,KROKODILSPRUIT 290 JR PTN 22,,NORTH WEST,NORTH WEST,1970,,KROKODILSPRUIT,EARTHFILL,20,70,OPEN CHANNEL,75,1.4,0,OTHER (MINING),FRESH WATER CC,,,9/29/2009,Medium,Significant,2,3/16/2015,O,,0,
A232/27,,KUDUBE DAM (LEEUKRAAL DAM),1,A23F,25,23,23.29,28,16,38.38,TEMBA,1,LEEUWKRAAL,MORETELE,GAUTENG,NORTH WEST,1982,,APIES/TSHWANE RIVER,EARTHFILL,11,494,OGEE AND FUSE PLUG,550,37.6,712,MUNICIPAL USE,DEPT. OF WATER & SANITATION,VIAPLAN,PETER FABER,5/1/1995,Small,Significant,2,1/22/1993,W,3/17/2009,3,7/29/2016
A232/33,1251,NOOITGEDACHTSPRUIT POWER STATION DAM,1,A23D,25,45,19,28,8,41,PRETORIA,0,PTN R/6 OF PRETORIA TOWN & TOWNLANDS 351 JR,PRETORIA,GAUTENG,NORTH WEST,1920,,NOOITGEDACHTSPRUIT,EARTHFILL,10.1,290,UNCONTROLLED CONCRETE,461,9.72,5.9,POWER STATION COOLING,CITY OF TSHWANE METROPOLITAN MUNICIPALITY (PRETORIA),UNKNOWN,UNKNOWN,5/4/1995,Small,Significant,2,10/20/2009,M,2/28/2012,1,
A232/35,,HARTEBEESTHOEK RESERVOIR,1,A23E,25,40,28,28,4,50,PRETORIA,15,PTN. 155 HARTEBEESTHOEK 303-JR,WONDERBOOM,GAUTENG,NORTH WEST,1985,,-,REINFORCED CONCRETE RESERVOIR,7,0,VERTICAL OVERFLOW SHAFT WITH BELLMOUTH,99,1,0,MUNICIPAL USE & INDUSTRIAL USE,RAND WATER,D.A.M WALKER A HEIR + ASSOC.,DORBYL PROJECTS + CON.,10/11/1996,Small,Significant,2,4/29/1997,B,8/25/2010,1,
A232/37,336,ROOIWAL DAM (see also A232/26),1,A23E,25,34,14,28,13,3,ROOIWAL,3,ROOIWAL 270 JR PTN 36,JR,NORTH WEST,NORTH WEST,1986,,,EARTHFILL,8,400,OPEN CHANNEL,200,10.75,0,IRRIGATION,RJTM FARMS,,,9/1/2009,Small,Significant,2,2/13/2013,A,,0,
A233/22,,PLATRIVIER DAM,1,A23G,24,52,4.1,28,15,33.4,WARMBAD,4,ROODEPOORT 467 PTN. 17,WATERBERG,LIMPOPO,NORTH WEST,1946,1959,PLAT,GRAVITY BUTTRES,12,140,CONCRETE OGEE (FREE FALL / STRAIGHT DROP),549,17,142,MUNICIPAL USE & INDUSTRIAL USE,BELA BELA LOCAL MUNICIPALITY,UNKNOWN,ITALIAN PRISONERS OF WAR,6/30/1987,Medium,High,3,10/14/1988,M,1/15/2010,2,6/30/2016
A233/23,,BOSCHPOORT DAM (WP WESSELS DAM),1,A23H,24,49,12,28,3,54,WARMBAD,30,BOSCHPOORT 550 KR,,LIMPOPO,NORTH WEST,1987,,KAREESPRUIT,EARTHFILL,14,91,OGEE SPILLWAY,75,3,21.65,IRRIGATION,MABALINGWE SHARE BLOCK,T C MITCHELL,OWNER,8/6/1997,Medium,Significant,2,9/3/1987,A,8/21/2012,2,
A233/24,156,WARMBAD-NUWE DAM,1,A23G,24,51,26,28,14,39,BELA BELA,6,ROODEPOORT 467 KR,WARMBAD,LIMPOPO,NORTH WEST,1985,,BUFFEL SPRUIT,EARTHFILL & ROCKFILL,44.75,200,OGEE,7960,67,123.7,MUNICIPAL USE & INDUSTRIAL USE,BELA BELA LOCAL MUNICIPALITY (WARMBAD),BURGER PRETORIUS & PARTNERS,MARIUS MOSTERT(PTY)LTD.,6/30/1987,Large,High,3,4/15/1988,M,6/24/2008,2,
A233/26,,KLEIN KARIBA NO.1 DAM,1,A23G,24,50,10,28,19,58.2,WARMBAD,7,BUISKOP 464 KR PTN. 13 OF PTN. 2,WATERBERG,LIMPOPO,NORTH WEST,1960,,BAD-SE-LOOP,GRAVITY,6,26,FREE FALL (STRAIGHT DROP),7,0.4,25.2,RECREATION,KLEIN KARIBA RESORT,UNKNOWN,UNKNOWN,12/10/1993,Small,High,2,10/12/1993,O,2/2/2015,3,1/23/2020
A233/27,,KLEIN KARIBA DAM 2,1,A23G,24,50,55.3,28,19,43.7,WARMBAD,4.3,BUISKOP 464 KR PTN. 13,,LIMPOPO,NORTH WEST,1974,,BAD SE LOOP RIVER,EARTHFILL,9,185,UNCONTROLLED BYWASH,70,2.8,28.2,RECREATION,"AFRIKAANSE TAAL- & 
KULTUURVERENIGING",UNKNOWN,UNKNOWN,10/8/1990,Small,Low,1,6/12/1996,O,2/2/2015,1,
A233/31,,BOSPOORT DAM,1,A23G,24,51,14.3,28,17,41.7,WARMBAD,2,BOSPOORT 450 KR RESTANT,WARMBAD,LIMPOPO,NORTH WEST,warm,,,EARTHFILL,11,75,SIDE CHANNEL SPILLWAY,150,5,,IRRIGATION,DOUBLE FLASH INVESTMENT 27 (PTY) LTD,UNKNOWN,UNKNOWN,6/8/1998,Small,Significant,2,1/21/2000,A,6/26/2000,1,4/30/2010
A233/32,,LEJWE LA METSI (THABAMANZI) DAM,1,A23G,24,50,45,28,17,35,WARMBAD,4,BOSPOORT 450  PTN. 43 (REMAINING EXTENT),KR,LIMPOPO,NORTH WEST,1945,,BAD SE LOOP,GRAVITY,9.35,103,BY-WASH,159,3,17.5,RECREATION,LEJWE LA METSI GAME FARM (PTY) LTD.,UNKNOWN,ITALIAANSE POW'S,2/2/2000,Small,Significant,2,3/17/2000,A,8/16/2010,2,
A233/33,621,MVUBU DAM,1,A23H,24,48,24,27,54,18,WARMBATHS,50,WITFONTEIN 84501,KQ,NORTH WEST,NORTH WEST,2000,,TOOYSPRUIT,EARTHFILL,6.5,100,SIDE CHANNEL,50,2.5,0,LIVESTOCK WATERING,MABULA PRIVATE RESERVE,,,9/29/2009,Small,Significant,2,2/13/2013,O,,0,1/31/2016
A233/34,726,BUFFELSPRUIT DAM,1,A23G,24,48,39,28,11,29,WARMBATHS,15,BUFFELSPRUIT 443 PTN 18,KR,LIMPOPO,NORTH WEST,1985,,BUFELSPRUIT,EARTHFILL,7.9,142,FREE FALL (STRAIGHT DROP),102,4.1,0,IRRIGATION,A & A VISAGIE FAMILY TRUST,,,10/28/2009,Small,Significant,2,2/13/2013,A,,0,5/31/2016
A233/35,,GORKUM DAM,1,A23H,24,48,30.5,28,4,51.7,BELA BELA,30,BOSCHPOORT 550 KR,WARMBAD,LIMPOPO,NORTH WEST,,,KAREESPRUIT,EARTHFILL,12.7,350,OPEN CHANNEL,112,,,RECREATION,MABALINGWE SHARE BLOCK,,,8/27/2013,Medium,Not Classified,,,O,,0,
A234/26,,ZANDRIVIERSDRIFT DAM,1,A24A,25,10,14,27,38,19.1,BRITS,55,ZANDRIVIERSDRIFT,BRITS,NORTH WEST,NORTH WEST,1987,,SAND RIVER,EARTHFILL,6,440,OPEN  CHANNEL,250,25,,IRRIGATION,MEINTJIES J.W.,OWNER,OWNER,12/18/1986,Small,Low,1,12/19/1988,A,,0,
